task_id,consultant_1,consultant_2,consultant_3,consultant_4,consultant_5
1,180.0,110.00000000000001,110.00000000000001,92.5,100.0
2,200.0,110.00000000000001,120.0,100.0,85.0
3,190.0,100.0,110.00000000000001,92.5,92.5
4,190.0,110.00000000000001,100.0,92.5,100.0
5,190.0,110.00000000000001,110.00000000000001,92.5,100.0
6,190.0,120.0,120.0,100.0,100.0
7,190.0,100.0,110.00000000000001,85.0,100.0
8,200.0,110.00000000000001,120.0,92.5,100.0
9,200.0,120.0,100.0,100.0,100.0
10,200.0,120.0,110.00000000000001,100.0,100.0
11,200.0,120.0,120.0,92.5,100.0
12,200.0,120.0,120.0,100.0,100.0
13,200.0,110.00000000000001,120.0,100.0,85.0
14,190.0,120.0,120.0,100.0,100.0
15,200.0,120.0,120.0,100.0,100.0
